C0003250_aapp	INTERACTS_WITH	C0011503_nnon
C0035179_orch	CAUSES	C0233488_sosy
C0033554_bacs	AFFECTS	C0011603_dsyn
C0026549_orch	COEXISTS_WITH	C0021576_hops
C1311070_orch	AFFECTS	C0524550_genf
DC0002062_orch	COEXISTS_WITH	C1506180_bacs
C0310391_clnd	TREATS	C0271051_dsyn
C0079904_aapp	COEXISTS_WITH	C1528954_bacs
C0082782_orch	AFFECTS	C0027834_celc
C0303379_elii	COEXISTS_WITH	DC0037098_inch
DC0003749_phsu	COEXISTS_WITH	DC0330657_phsu
DC0023749_bacs	INHIBITS	C0002722_aapp
C0242210_aapp	INTERACTS_WITH	C0033706_aapp
C0001551_imft	ASSOCIATED_WITH	C0006142_neop
C0079189_aapp	ASSOCIATED_WITH	C0024115_dsyn
C0537005_imft	INTERACTS_WITH	C0029297_aapp
C0003993_aapp	AUGMENTS	C0026004_celc
C0001280_cell	PRODUCES	DC0041249_aapp
C0021758_aapp	ASSOCIATED_WITH	C0020517_patf
DC0007269_bacs	ASSOCIATED_WITH	C0242383_dsyn
DC0029383_elii	COEXISTS_WITH	C0116356_orch
C0017968_aapp	ASSOCIATED_WITH	C0349653_dsyn
C0005026_orch	CAUSES	C0019595_celf
DC0003765_aapp	AUGMENTS	C0021841_neop
DC0001047_aapp	AFFECTS	C0282636_celf
DC0330186_phsu	COEXISTS_WITH	C0012929_bacs
C0063146_inch	INTERACTS_WITH	DC0040302_elii
C0040462_bodm	AFFECTS	C0011432_dsyn
C0392476_cgab	COEXISTS_WITH	C0011071_patf
C1148564_moft	CAUSES	C1154952_celf
DC0040811_phsu	COEXISTS_WITH	DC0007648_bacs
C0142927_phsu	COEXISTS_WITH	C0004057_orch
C0018801_dsyn	ASSOCIATED_WITH	C0678951_genf
DC1138004_phsu	TREATS	C0006277_dsyn
C0002475_antb	PREVENTS	C0349702_patf
C0033975_mobd	AFFECTS	C0015576_humn
C0243019_imft	INTERACTS_WITH	C0032521_bodm
DC0086767_phsu	TREATS	C0009319_dsyn
C0014630_orch	COEXISTS_WITH	DC0330922_phsu
C0543467_topp	PREVENTS	C0151798_dsyn
C0062636_phsu	PREVENTS	C0011389_dsyn
C0392938_phsu	AUGMENTS	C0039194_cell
DC0012968_bacs	COEXISTS_WITH	C0001992_orch
C0035724_bacs	COEXISTS_WITH	C0162326_nusq
C1135555_topp	TREATS	C0005411_cgab
C0001473_aapp	ASSOCIATED_WITH	C0277787_sosy
C0527325_orch	AFFECTS	C0025329_orgf
DC0330391_phsu	INHIBITS	C0005052_orch
C0142812_phsu	CAUSES	C0007589_celf
C0016849_bacs	COEXISTS_WITH	DC1031603_phsu
C0016293_orch	INTERACTS_WITH	C0076278_orch
C0056606_orch	INHIBITS	C0059239_gngm
C0031586_orch	AUGMENTS	C0016017_phsf
C0113577_aapp	INTERACTS_WITH	C0035701_bacs
C0031849_orch	AUGMENTS	C0042276_bpoc
C0733863_antb	CAUSES	C0027123_dsyn
DC1140676_phsu	COEXISTS_WITH	C0079423_gngm
C0029009_aapp	STIMULATES	DC0131956_gngm
C0597336_gngm	COEXISTS_WITH	DC0004595_phsu
C0020429_fndg	COEXISTS_WITH	C1298685_dsyn
C0596902_aapp	COEXISTS_WITH	DC1140676_phsu
C1364818_gngm	COEXISTS_WITH	C0917903_orch
C0205721_dsyn	AFFECTS	C0282667_dsyn
C0134337_orch	DISRUPTS	C0019595_celf
C1257966_orch	INTERACTS_WITH	DC0330205_phsu
C0056518_aapp	CAUSES	C0596402_comd
C0651569_nnon	AUGMENTS	C0700374_bpoc
C0035565_aapp	ASSOCIATED_WITH	C0282507_inpo
C0206364_aapp	ASSOCIATED_WITH	C0029925_neop
C0032082_horm	INTERACTS_WITH	C0000843_orch
C0035701_bacs	INTERACTS_WITH	C0080321_aapp
C0023607_aapp	AFFECTS	C0024156_cell
C0108768_aapp	COEXISTS_WITH	C0030958_bacs
C0740845_fndg	COEXISTS_WITH	C0232483_patf
C0011881_dsyn	AFFECTS	C0242184_patf
C0080222_aapp	ASSOCIATED_WITH	C0940937_neop
C0034325_orch	COEXISTS_WITH	C1363844_aapp
C1258078_celf	AFFECTS	C0007613_celf
C0036690_dsyn	CAUSES	C1155266_patf
C0013393_dsyn	ASSOCIATED_WITH	C1155452_moft
DC0067067_orch	INHIBITS	C0025543_gngm
DC0600402_phsu	COEXISTS_WITH	DC0016219_orch
C0920376_aapp	INTERACTS_WITH	DC0017945_orch
C0204695_hlca	PREVENTS	C0021311_dsyn
DC0042874_orch	AFFECTS	C0032176_celf
C0769813_bacs	INTERACTS_WITH	DC0319878_phsu
C0247952_orch	AUGMENTS	C1514733_cell
DC0005078_orch	COEXISTS_WITH	C0071834_hops
DC0037549_orch	COEXISTS_WITH	C0026741_aapp
C0699524_phsu	TREATS	C0019348_dsyn
DC1085943_phsu	TREATS	C0019204_neop
DC0016157_bacs	ASSOCIATED_WITH	C0003811_patf
C0242488_inpo	COEXISTS_WITH	C0333565_patf
C0029408_dsyn	COEXISTS_WITH	C0221198_fndg
